country,region,income_level,subsample,year,flfp,unemployment,female_non_agri,avg_weekly_hours
Belize,LCN,Upper middle income,High Education,1994,0.5494127869606018,0.05969417467713356,0.9949199557304382,42.41175079345703
Belize,LCN,Upper middle income,Female,1994,0.3573972880840302,0.08429329842329025,0.9545245170593262,39.56622695922852
Belize,LCN,Upper middle income,Old,1994,0.3700394034385681,0.03597571700811386,0.9650701880455016,44.4614372253418
Belize,LCN,Upper middle income,Rural,1996,0.2143642753362656,0.06837525218725204,0.8411494493484497,42.50455474853516
Belize,LCN,Upper middle income,Female,1996,0.3476864695549011,0.1127150803804398,0.9521661400794984,37.66218566894531
Belize,LCN,Upper middle income,Old,1996,0.385581910610199,0.06346579641103745,0.952996790409088,42.454345703125
Belize,LCN,Upper middle income,High Education,1996,0.5151904821395874,0.09898525476455688,0.9912368059158324,41.31915283203125
Belize,LCN,Upper middle income,Urban,1996,0.4616903960704803,0.1170899942517281,0.9972022771835328,42.01486968994141
Belize,LCN,Upper middle income,Young,1996,0.2802592515945435,0.1714709252119064,0.9497539401054382,41.6772346496582
Belize,LCN,Upper middle income,All,1996,0.3476864695549011,0.09458523988723756,0.9521661400794984,42.24758911132813
Belize,LCN,Upper middle income,Low Education,1996,0.2501672506332397,0.0920185074210167,0.8940244317054749,42.74201965332031
Belize,LCN,Upper middle income,Rural,1997,0.2644230723381042,0.05113036558032036,0.8406800031661987,43.70309066772461
Belize,LCN,Upper middle income,Young,1997,0.3190631568431854,0.1753372699022293,0.9367667436599731,42.29053115844727
Belize,LCN,Upper middle income,Urban,1997,0.5091092586517334,0.1322030425071716,0.9942723512649536,42.07665634155273
Belize,LCN,Upper middle income,High Education,1997,0.5458923578262329,0.1034610271453857,0.9859081506729126,42.70021438598633
Belize,LCN,Upper middle income,Old,1997,0.4298717975616455,0.05810818448662758,0.9451199173927308,43.1278190612793
Belize,LCN,Upper middle income,Female,1997,0.3901789784431458,0.1348361372947693,0.9430106282234192,38.15583038330078
Belize,LCN,Upper middle income,All,1997,0.3901789784431458,0.09300045669078828,0.9430106282234192,42.89844512939453
Belize,LCN,Upper middle income,Low Education,1997,0.3075182735919952,0.08703445643186569,0.9032507538795472,43.01148986816406
Belize,LCN,Upper middle income,Female,1998,0.3946970999240875,0.1291630417108536,0.9486069083213806,38.5836181640625
Belize,LCN,Upper middle income,High Education,1998,0.5517484545707703,0.1165310814976692,0.9950323104858398,41.87306213378906
Belize,LCN,Upper middle income,Rural,1998,0.2897903621196747,0.06533714383840561,0.8649612665176392,41.49164581298828
Belize,LCN,Upper middle income,Urban,1998,0.4885664880275726,0.1241409555077553,0.994773268699646,42.31864166259766
Belize,LCN,Upper middle income,Young,1998,0.3244819343090057,0.1780188381671906,0.9281628727912904,40.7321891784668
Belize,LCN,Upper middle income,Low Education,1998,0.2976628243923187,0.08267013728618622,0.8966156840324402,41.92636489868164
Belize,LCN,Upper middle income,All,1998,0.3946970999240875,0.09596151858568192,0.9486069083213806,41.91082382202148
Belize,LCN,Upper middle income,Old,1998,0.4344607889652252,0.06184640899300575,0.95578932762146,42.35207366943359
Belize,LCN,Upper middle income,Rural,1999,0.3224700391292572,0.07141982764005661,0.8473781943321228,43.35221099853516
Belize,LCN,Upper middle income,High Education,1999,0.5234147906303406,0.1038280203938484,0.997313916683197,42.30786514282227
Belize,LCN,Upper middle income,Young,1999,0.3421227633953094,0.1716207712888718,0.9234028458595276,41.84577560424805
Belize,LCN,Upper middle income,Low Education,1999,0.3352563679218292,0.09407611191272736,0.8786724209785461,43.41531753540039
Belize,LCN,Upper middle income,Old,1999,0.4421657025814056,0.06728823482990265,0.9422630071640016,43.43529510498047
Belize,LCN,Upper middle income,Female,1999,0.4063945412635803,0.1407347768545151,0.9373072981834412,39.32944488525391
Belize,LCN,Upper middle income,Urban,1999,0.4870516061782837,0.1240399479866028,0.9954862594604492,42.64630126953125
Belize,LCN,Upper middle income,All,1999,0.4063945412635803,0.09770086407661438,0.9373072981834412,43.00762176513672
Bolivia,LCN,Lower middle income,Rural,1997,0.7776676416397095,0.00145217461977154,0.160483106970787,41.73361206054688
Bolivia,LCN,Lower middle income,Old,1997,0.6803550720214844,0.01164993364363909,0.6279466152191162,45.30207824707031
Bolivia,LCN,Lower middle income,Low Education,1997,0.6766283512115479,0.00585934938862919,0.456836074590683,45.04480743408203
Bolivia,LCN,Lower middle income,High Education,1997,0.4887969195842743,0.02597502060234547,0.9417979121208192,42.72875595092773
Bolivia,LCN,Lower middle income,Female,1997,0.6049381494522095,0.013285499066114431,0.614825427532196,40.03487014770508
Bolivia,LCN,Lower middle income,Young,1997,0.4524044394493103,0.02232925035059452,0.5743482708930969,40.73530960083008
Bolivia,LCN,Lower middle income,Urban,1997,0.5181821584701538,0.02368106320500374,0.9645362496376038,46.07188034057617
Bolivia,LCN,Lower middle income,All,1997,0.6049381494522095,0.01423703692853451,0.614825427532196,44.2048454284668
Bolivia,LCN,Lower middle income,Low Education,1999,0.6896070241928101,0.02192751131951809,0.4906256496906281,45.15841293334961
Bolivia,LCN,Lower middle income,High Education,1999,0.5278849601745605,0.06611578911542892,0.9443447589874268,43.57193756103516
Bolivia,LCN,Lower middle income,Old,1999,0.7008654475212097,0.02618443965911865,0.6563739776611328,45.77600860595703
Bolivia,LCN,Lower middle income,Female,1999,0.6265130639076233,0.04643690958619118,0.6464011669158936,42.33066558837891
Bolivia,LCN,Lower middle income,Urban,1999,0.5525033473968506,0.06279142946004868,0.9765995740890504,46.7750244140625
Bolivia,LCN,Lower middle income,Young,1999,0.4739784598350525,0.08383981883525848,0.613867998123169,40.75074005126953
Bolivia,LCN,Lower middle income,Rural,1999,0.7874820828437805,0.00458884146064519,0.1761195957660675,41.26938247680664
Bolivia,LCN,Lower middle income,All,1999,0.6265130639076233,0.04049200937151909,0.6464011669158936,44.58417892456055
